1,254,3,3,19036.0,5.61,-0.18
1,460,3,3,19036.0,5.61,-0.18
1,70,3,3,19036.0,5.61,-0.18
1,498,3,3,19036.0,5.61,-0.18
1,648,3,3,19036.0,5.61,-0.18
1,267,3,3,10878.0,5.61,-0.18
1,249,3,3,19036.0,5.61,-0.18
1,249,3,3,13597.0,5.61,-0.18
1,520,3,3,19036.0,5.61,-0.18
1,365,3,3,326.0,5.68,-0.13
1,577,1,1,544.0,5.58,-0.25
1,176,2,2,14685.0,5.58,-0.18
1,432,2,2,14685.0,5.58,-0.18
1,358,2,2,14685.0,5.58,-0.18
1,670,2,2,14685.0,5.58,-0.18
1,267,2,2,14685.0,5.58,-0.18
1,223,2,2,14685.0,5.58,-0.18
1,386,2,2,14685.0,5.58,-0.18
1,463,2,2,14685.0,5.58,-0.18
1,610,2,2,14685.0,5.58,-0.18
1,86,2,2,14685.0,5.58,-0.18
1,164,2,2,14685.0,5.58,-0.18
1,55,2,2,14685.0,5.58,-0.18
1,286,2,2,14685.0,5.58,-0.18
